DISTANCE_M,ELEVATION_M,NAME
1912.385183,159.04,Cottonwood Marble Canyon C
1921.668606,158.7525,Cottonwood Marble Canyon C
1930.95203,158.226,Cottonwood Marble Canyon C
1940.235453,157.8049,Cottonwood Marble Canyon C
1949.518876,157.4535,Cottonwood Marble Canyon C
1958.802299,157.0991,Cottonwood Marble Canyon C
1968.085722,156.7397,Cottonwood Marble Canyon C
1977.369146,156.3776,Cottonwood Marble Canyon C
1986.652569,156.0188,Cottonwood Marble Canyon C
1995.935992,155.6588,Cottonwood Marble Canyon C
2005.219415,155.1013,Cottonwood Marble Canyon C
2014.502839,154.5693,Cottonwood Marble Canyon C
2023.786262,154.2047,Cottonwood Marble Canyon C
2033.069685,153.8371,Cottonwood Marble Canyon C
2042.353108,153.4619,Cottonwood Marble Canyon C
2051.636531,153.0936,Cottonwood Marble Canyon C
2060.919955,152.7147,Cottonwood Marble Canyon C
2070.203378,152.3089,Cottonwood Marble Canyon C
2079.486801,151.6578,Cottonwood Marble Canyon C
2088.770224,150.8554,Cottonwood Marble Canyon C
2098.053648,150.5323,Cottonwood Marble Canyon C
2107.337071,150.4634,Cottonwood Marble Canyon C
2116.620494,150.3203,Cottonwood Marble Canyon C
2125.903917,150.0004,Cottonwood Marble Canyon C
2135.18734,149.6727,Cottonwood Marble Canyon C
2144.470764,149.2421,Cottonwood Marble Canyon C
2153.754187,148.3397,Cottonwood Marble Canyon C
2163.03761,147.3831,Cottonwood Marble Canyon C
2172.321033,147.3052,Cottonwood Marble Canyon C
2181.604456,147.2046,Cottonwood Marble Canyon C
2190.88788,147.063,Cottonwood Marble Canyon C
2200.171303,146.8865,Cottonwood Marble Canyon C
2209.454726,146.7107,Cottonwood Marble Canyon C
2218.738149,146.5073,Cottonwood Marble Canyon C
2228.021573,146.2549,Cottonwood Marble Canyon C
2237.304996,145.9714,Cottonwood Marble Canyon C
2246.588419,145.2931,Cottonwood Marble Canyon C
2255.871842,145.0031,Cottonwood Marble Canyon C
2265.155265,144.7157,Cottonwood Marble Canyon C
2274.438689,144.4582,Cottonwood Marble Canyon C
2283.722112,144.2579,Cottonwood Marble Canyon C
2293.005535,144.1251,Cottonwood Marble Canyon C
2302.288958,144.0415,Cottonwood Marble Canyon C
2311.572382,143.8895,Cottonwood Marble Canyon C
2320.855805,143.5161,Cottonwood Marble Canyon C
2330.139228,143.2609,Cottonwood Marble Canyon C
2339.422651,143.0215,Cottonwood Marble Canyon C
2348.706074,142.747,Cottonwood Marble Canyon C
2357.989498,142.4809,Cottonwood Marble Canyon C
2367.272921,142.2337,Cottonwood Marble Canyon C
2376.556344,142.0245,Cottonwood Marble Canyon C
2385.839767,141.8474,Cottonwood Marble Canyon C
2395.123191,141.7446,Cottonwood Marble Canyon C
2404.406614,141.6383,Cottonwood Marble Canyon C
2413.690037,141.483,Cottonwood Marble Canyon C
2422.97346,141.2825,Cottonwood Marble Canyon C
2432.256883,141.026,Cottonwood Marble Canyon C
2441.540307,140.6287,Cottonwood Marble Canyon C
2450.82373,140.1386,Cottonwood Marble Canyon C
2460.107153,139.6283,Cottonwood Marble Canyon C
2469.390576,139.0035,Cottonwood Marble Canyon C
