DISTANCE_M,ELEVATION_M,NAME
4083.475555,79.1933,Cottonwood Marble Canyon R
4092.756181,78.7601,Cottonwood Marble Canyon R
4102.036807,78.4201,Cottonwood Marble Canyon R
4111.317433,78.0776,Cottonwood Marble Canyon R
4120.59806,77.867,Cottonwood Marble Canyon R
4129.878686,77.6605,Cottonwood Marble Canyon R
4139.159312,77.3114,Cottonwood Marble Canyon R
4148.439938,77.0267,Cottonwood Marble Canyon R
4157.720565,76.7599,Cottonwood Marble Canyon R
4167.001191,76.4782,Cottonwood Marble Canyon R
4176.281817,76.1531,Cottonwood Marble Canyon R
4185.562443,75.762,Cottonwood Marble Canyon R
4194.84307,75.1674,Cottonwood Marble Canyon R
4204.123696,74.4682,Cottonwood Marble Canyon R
4213.404322,74.1181,Cottonwood Marble Canyon R
4222.684948,73.9274,Cottonwood Marble Canyon R
4231.965575,73.8039,Cottonwood Marble Canyon R
4241.246201,73.6471,Cottonwood Marble Canyon R
4250.526827,73.4593,Cottonwood Marble Canyon R
4259.807453,73.3375,Cottonwood Marble Canyon R
4269.08808,73.2347,Cottonwood Marble Canyon R
4278.368706,73.007,Cottonwood Marble Canyon R
4287.649332,72.7744,Cottonwood Marble Canyon R
4296.929959,72.4563,Cottonwood Marble Canyon R
4306.210585,72.129,Cottonwood Marble Canyon R
4315.491211,71.8737,Cottonwood Marble Canyon R
4324.771837,71.6552,Cottonwood Marble Canyon R
4334.052464,71.4392,Cottonwood Marble Canyon R
4343.33309,71.2251,Cottonwood Marble Canyon R
4352.613716,71.0194,Cottonwood Marble Canyon R
4361.894342,70.7273,Cottonwood Marble Canyon R
4371.174969,70.4292,Cottonwood Marble Canyon R
4380.455595,70.1325,Cottonwood Marble Canyon R
4389.736221,69.846,Cottonwood Marble Canyon R
4399.016847,69.4007,Cottonwood Marble Canyon R
4408.297474,69.071,Cottonwood Marble Canyon R
4417.5781,68.9321,Cottonwood Marble Canyon R
4426.858726,68.7407,Cottonwood Marble Canyon R
4436.139352,68.4724,Cottonwood Marble Canyon R
4445.419979,68.1917,Cottonwood Marble Canyon R
4454.700605,67.9043,Cottonwood Marble Canyon R
4463.981231,67.5718,Cottonwood Marble Canyon R
4473.261857,67.196,Cottonwood Marble Canyon R
4482.542484,66.811,Cottonwood Marble Canyon R
4491.82311,66.4256,Cottonwood Marble Canyon R
4501.103736,66.0399,Cottonwood Marble Canyon R
4510.384363,65.5807,Cottonwood Marble Canyon R
4519.664989,65.2387,Cottonwood Marble Canyon R
4528.945615,64.929,Cottonwood Marble Canyon R
4538.226241,64.6072,Cottonwood Marble Canyon R
4547.506868,64.287,Cottonwood Marble Canyon R
4556.787494,63.9626,Cottonwood Marble Canyon R
4566.06812,63.7362,Cottonwood Marble Canyon R
